No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short,Team1_Mascot,Team2_Mascot,Team1_URL,Team2_URL,Team1_Thumb,Team2_Thumb
1,"Mcgill Toolen Mobile Al vs Pensacola Catholic Fl",Girls Volleyball,"Alabama",9/4/2026,7:30 PM,"The Pensacola Catholic Fl varsity volleyball team has a game @ Mcgill Toolen Mobile Al (Alabama).","/inter-state/volleyball/match/mcgill-toolen-mobile-al-vs-pensacola-catholic-fl/9-4-2026/?c=85e07bda-0ebb-492c-8d94-dd5a73be8303","https://www.maxpreps.com/inter-state/volleyball/match/mcgill-toolen-mobile-al-vs-pensacola-catholic-fl/9-4-2026/?c=85e07bda-0ebb-492c-8d94-dd5a73be8303",1241,"Crusaders","Yellowjackets","https://www.maxpreps.com/al/mcgill-toolen-mobile-al/girls-volleyball/","https://www.maxpreps.com/al/pensacola-catholic-fl/girls-volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fa%2Fc%2Ff%2Facfc9424-377e-4895-9eb6-a3effc3aa8a4.gif%3Fversion%3D639180967238469850%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fe%2Fc%2Fa%2Feca51d92-71f6-455a-a88e-cc46dcbdf7c3.gif%3Fversion%3D638241472800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
2,"Mcgill Toolen Mobile Al vs St Pius X Catholic Atlanta Ga",Girls Volleyball,"Alabama",9/4/2026,7:30 PM,"The St Pius X Catholic Atlanta Ga varsity volleyball team has a game @ Mcgill Toolen Mobile Al (Alabama).","/inter-state/volleyball/match/mcgill-toolen-mobile-al-vs-st-pius-x-catholic-atlanta-ga/9-4-2026/?c=f680df71-fecf-4de0-a1a2-f405060794f0","https://www.maxpreps.com/inter-state/volleyball/match/mcgill-toolen-mobile-al-vs-st-pius-x-catholic-atlanta-ga/9-4-2026/?c=f680df71-fecf-4de0-a1a2-f405060794f0",150d,"Yellowjackets","Golden Lions","https://www.maxpreps.com/al/mcgill-toolen-mobile-al/girls-volleyball/","https://www.maxpreps.com/al/st-pius-x-catholic-atlanta-ga/girls-volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fe%2Fc%2Fa%2Feca51d92-71f6-455a-a88e-cc46dcbdf7c3.gif%3Fversion%3D638241472800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2Fd%2F4%2F1d429384-9be7-40a6-b642-814036949d54.gif%3Fversion%3D637498396800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
3,"Booker T Washington Pensacola Fl vs Spanish Fort Al",Girls Volleyball,"Alabama",9/4/2026,7:30 PM,"The Spanish Fort Al varsity volleyball team has a game @ Booker T Washington Pensacola Fl (Alabama).","/inter-state/volleyball/match/booker-t-washington-pensacola-fl-vs-spanish-fort-al/9-4-2026/?c=a09bc5b4-447a-43e4-a7b7-3ba286b6dd5d","https://www.maxpreps.com/inter-state/volleyball/match/booker-t-washington-pensacola-fl-vs-spanish-fort-al/9-4-2026/?c=a09bc5b4-447a-43e4-a7b7-3ba286b6dd5d",138f,"Wildcats","Toros","https://www.maxpreps.com/al/booker-t-washington-pensacola-fl/girls-volleyball/","https://www.maxpreps.com/al/spanish-fort-al/girls-volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F0%2F5%2Fa%2F05a7340d-c5ba-4e5b-8d94-7ec1b8b69a62.gif%3Fversion%3D637018990200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F0%2F2%2F9%2F029e1da5-5c5c-4f86-b679-5bb690bde0cb.gif%3Fversion%3D638253693000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
4,"Fort Payne vs Pleasant Valley Jacksonville",Girls Volleyball,"Alabama",9/4/2026,7:30 PM,"The Pleasant Valley Jacksonville varsity volleyball team has a game @ Fort Payne (Alabama).","/al/volleyball/match/fort-payne-vs-pleasant-valley-jacksonville/9-4-2026/?c=ffc175e1-9704-4c36-9629-094c344bba40","https://www.maxpreps.com/al/volleyball/match/fort-payne-vs-pleasant-valley-jacksonville/9-4-2026/?c=ffc175e1-9704-4c36-9629-094c344bba40",108c,"Wildcats","Raiders","https://www.maxpreps.com/al/fort-payne/girls-volleyball/","https://www.maxpreps.com/al/pleasant-valley-jacksonville/girls-volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F4%2F6%2F7%2F46788e2b-5452-42b4-a778-875da1363030.gif%3Fversion%3D638225175000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2Fd%2Fb%2F1db53c2b-dbec-4915-98c9-a24b5af6b636.gif%3Fversion%3D638253636000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
5,"Bayside Academy Daphne Al vs Pace Fl",Girls Volleyball,"Alabama",9/4/2026,7:30 PM,"The Pace Fl varsity volleyball team has a game @ Bayside Academy Daphne Al (Alabama).","/inter-state/volleyball/match/bayside-academy-daphne-al-vs-pace-fl/9-4-2026/?c=22f95683-5a51-4616-b6a1-bf39b27f275d","https://www.maxpreps.com/inter-state/volleyball/match/bayside-academy-daphne-al-vs-pace-fl/9-4-2026/?c=22f95683-5a51-4616-b6a1-bf39b27f275d",d54,"Admirals","Patriots","https://www.maxpreps.com/al/bayside-academy-daphne-al/girls-volleyball/","https://www.maxpreps.com/al/pace-fl/girls-volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2F6%2F7%2F167fed3a-8e8a-4e19-991d-06737fb1a407.gif%3Fversion%3D638213106600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2F7%2Fa%2F87a26ee3-35d5-44c0-890d-80fbda3222bc.gif%3Fversion%3D637547800200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
6,"Briarcrest Christian Eads Tn vs Snook Christian Academy Foley Al",Girls Volleyball,"Alabama",9/4/2026,7:30 PM,"The Snook Christian Academy Foley Al varsity volleyball team has a game @ Briarcrest Christian Eads Tn (Alabama).","/inter-state/volleyball/match/briarcrest-christian-eads-tn-vs-snook-christian-academy-foley-al/9-4-2026/?c=4baf46f5-ab42-4529-b673-8e3bb7cdd6da","https://www.maxpreps.com/inter-state/volleyball/match/briarcrest-christian-eads-tn-vs-snook-christian-academy-foley-al/9-4-2026/?c=4baf46f5-ab42-4529-b673-8e3bb7cdd6da",18a2,"Eagles","Saints","https://www.maxpreps.com/al/briarcrest-christian-eads-tn/girls-volleyball/","https://www.maxpreps.com/al/snook-christian-academy-foley-al/girls-volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F9%2F9%2Fc%2F99c01265-5101-442b-88ee-5f8c89cd5d83.gif%3Fversion%3D638880790742227080%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F9%2F9%2F6%2F996d94e7-9583-4e60-b049-cdacf1642def.gif%3Fversion%3D634970369400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
7,"Foley Al vs Grace Christian Academy Franklin Tn",Girls Volleyball,"Alabama",9/4/2026,7:30 PM,"The Grace Christian Academy Franklin Tn varsity volleyball team has a game @ Foley Al (Alabama).","/inter-state/volleyball/match/foley-al-vs-grace-christian-academy-franklin-tn/9-4-2026/?c=00589ef0-e004-421b-b0bf-5079164ba562","https://www.maxpreps.com/inter-state/volleyball/match/foley-al-vs-grace-christian-academy-franklin-tn/9-4-2026/?c=00589ef0-e004-421b-b0bf-5079164ba562",11e2,"Lions","Lions","https://www.maxpreps.com/al/foley-al/girls-volleyball/","https://www.maxpreps.com/al/grace-christian-academy-franklin-tn/girls-volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F3%2F5%2Fc%2F35c7d85c-fed9-48ff-be13-41d2dc89fe7c.gif%3Fversion%3D638225175000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2Fc%2Ff%2F6cf03cf2-706f-45de-a82c-aea762a52787.gif%3Fversion%3D636860703600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
8,"Archbishop Hannan Covington La vs St John Paul Ii Huntsville Al",Girls Volleyball,"Alabama",9/4/2026,7:30 PM,"The St John Paul Ii Huntsville Al varsity volleyball team has a game @ Archbishop Hannan Covington La (Alabama).","/inter-state/volleyball/match/archbishop-hannan-covington-la-vs-st-john-paul-ii-huntsville-al/9-4-2026/?c=bca3b4a0-eced-4eae-a585-3dc5376beadf","https://www.maxpreps.com/inter-state/volleyball/match/archbishop-hannan-covington-la-vs-st-john-paul-ii-huntsville-al/9-4-2026/?c=bca3b4a0-eced-4eae-a585-3dc5376beadf",181b,"Hawks","Falcons","https://www.maxpreps.com/al/archbishop-hannan-covington-la/girls-volleyball/","https://www.maxpreps.com/al/st-john-paul-ii-huntsville-al/girls-volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2F9%2F4%2F6945409c-6d9a-4e08-9837-f2a53587b6a1.gif%3Fversion%3D634936002000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2F6%2F3%2F863ff616-4589-46d1-a2c4-879da6e3a7c9.gif%3Fversion%3D638249396400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
9,"Blountstown Fl vs Elkmont Al",Girls Volleyball,"Alabama",9/4/2026,7:30 PM,"The Elkmont Al varsity volleyball team has a game @ Blountstown Fl (Alabama).","/inter-state/volleyball/match/blountstown-fl-vs-elkmont-al/9-4-2026/?c=2929cf8d-7110-40e8-bffe-f0c4fcad76af","https://www.maxpreps.com/inter-state/volleyball/match/blountstown-fl-vs-elkmont-al/9-4-2026/?c=2929cf8d-7110-40e8-bffe-f0c4fcad76af",b05,"Red Devils","Tigers","https://www.maxpreps.com/al/blountstown-fl/girls-volleyball/","https://www.maxpreps.com/al/elkmont-al/girls-volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2F9%2Ff%2F69fc1c6e-b33d-4a41-804a-e0a06ed83af4.gif%3Fversion%3D638216566800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fc%2F9%2F2%2Fc92b6cec-d1c4-4c41-9a9f-4a7b51b1d15d.gif%3Fversion%3D639202152819205120%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
10,"Bayside Academy Daphne vs Foley",Girls Volleyball,"Alabama",9/4/2026,7:30 PM,"The Foley varsity volleyball team has a game @ Bayside Academy Daphne (Alabama).","/al/volleyball/match/bayside-academy-daphne-vs-foley/9-4-2026/?c=cff8763e-1eb6-4061-9107-22d3903b49d9","https://www.maxpreps.com/al/volleyball/match/bayside-academy-daphne-vs-foley/9-4-2026/?c=cff8763e-1eb6-4061-9107-22d3903b49d9",be1,"Lions","Admirals","https://www.maxpreps.com/al/bayside-academy-daphne/girls-volleyball/","https://www.maxpreps.com/al/foley/girls-volleyball/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F3%2F5%2Fc%2F35c7d85c-fed9-48ff-be13-41d2dc89fe7c.gif%3Fversion%3D638225175000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2F6%2F7%2F167fed3a-8e8a-4e19-991d-06737fb1a407.gif%3Fversion%3D638213106600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
