No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short,Team1_Mascot,Team2_Mascot,Team1_URL,Team2_URL,Team1_Thumb,Team2_Thumb
1,"Thompson Alabaster vs Vestavia Hills",Football,"Alabama",9/4/2026,7:30 PM,"The Vestavia Hills varsity football team has a game @ Thompson Alabaster (Alabama).","/al/football/game/thompson-alabaster-vs-vestavia-hills/9-4-2026/?c=592c6bca-5e37-4616-9dee-75190a10da96","https://www.maxpreps.com/al/football/game/thompson-alabaster-vs-vestavia-hills/9-4-2026/?c=592c6bca-5e37-4616-9dee-75190a10da96",e43,"Rebels","Warriors","https://www.maxpreps.com/al/thompson-alabaster/football/","https://www.maxpreps.com/al/vestavia-hills/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F4%2F9%2F3%2F493a7c03-17c9-48f1-a8bb-fbb0b9364256.gif%3Fversion%3D638253699600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Ff%2Fd%2F8%2Ffd85c43e-1a06-49c8-a805-b2c8fe9588ed.gif%3Fversion%3D638253696000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
2,"Hewitt Trussville vs Hoover",Football,"Alabama",9/4/2026,7:30 PM,"The Hoover varsity football team has a game @ Hewitt Trussville (Alabama).","/al/football/game/hewitt-trussville-vs-hoover/9-4-2026/?c=d69aface-ab32-4f1e-95cb-fe5ab412511a","https://www.maxpreps.com/al/football/game/hewitt-trussville-vs-hoover/9-4-2026/?c=d69aface-ab32-4f1e-95cb-fe5ab412511a",af5,"Bucs","Huskies","https://www.maxpreps.com/al/hewitt-trussville/football/","https://www.maxpreps.com/al/hoover/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fc%2F5%2Fa%2Fc5a22c7b-ff61-416b-be5d-f18948147988.gif%3Fversion%3D638234689200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F5%2F4%2F1%2F541aeea2-fce9-41fb-a02b-9d8e810c24a7.gif%3Fversion%3D638234686200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
3,"Gulf Shores vs Saraland",Football,"Alabama",9/4/2026,7:30 PM,"The Saraland varsity football team has a game @ Gulf Shores (Alabama).","/al/football/game/gulf-shores-vs-saraland/9-4-2026/?c=53e91f25-cd1b-43f2-b58c-b831a5eff588","https://www.maxpreps.com/al/football/game/gulf-shores-vs-saraland/9-4-2026/?c=53e91f25-cd1b-43f2-b58c-b831a5eff588",8f8,"Dolphins","Spartans","https://www.maxpreps.com/al/gulf-shores/football/","https://www.maxpreps.com/al/saraland/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fa%2Fb%2F7%2Fab7be16f-9d97-4419-abb2-cf0786f0ddf9.gif%3Fversion%3D638229444000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fc%2Fb%2F3%2Fcb3e2346-78ff-4642-9bdb-ff0eb37c96d9.gif%3Fversion%3D638253672000000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
4,"Lakeside School Eufaula vs Miracle Academy Birmingham",Football,"Alabama",9/4/2026,7:30 PM,"The Miracle Academy Birmingham varsity football team has a game @ Lakeside School Eufaula (Alabama).","/al/football/game/lakeside-school-eufaula-vs-miracle-academy-birmingham/9-4-2026/?c=1031ae78-82cb-4c45-8621-b2f9af90d791","https://www.maxpreps.com/al/football/game/lakeside-school-eufaula-vs-miracle-academy-birmingham/9-4-2026/?c=1031ae78-82cb-4c45-8621-b2f9af90d791",1473,"Chiefs","TBD","https://www.maxpreps.com/al/lakeside-school-eufaula/football/","https://www.maxpreps.com/al/miracle-academy-birmingham/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fc%2Fe%2F4%2Fce4353ae-87e5-47a8-a044-251a94baa4ea.gif%3Fversion%3D636576517200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fc%2Fe%2F4%2Fce4353ae-87e5-47a8-a044-251a94baa4ea.gif%3Fversion%3D636576517200000000%26amp%3Bwidth%3D64%26amp%3Bheight%3D64%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
5,"Fyffe vs Section",Football,"Alabama",9/4/2026,7:30 PM,"The Section varsity football team has a game @ Fyffe (Alabama).","/al/football/game/fyffe-vs-section/9-4-2026/?c=fca29ca3-afd8-45c0-93eb-d6278ae97479","https://www.maxpreps.com/al/football/game/fyffe-vs-section/9-4-2026/?c=fca29ca3-afd8-45c0-93eb-d6278ae97479",648,"Red Devils","Lions","https://www.maxpreps.com/al/fyffe/football/","https://www.maxpreps.com/al/section/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F0%2F5%2Fa%2F05a61c2b-2725-4304-a2c2-7811a2a7b608.gif%3Fversion%3D638225187600000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F0%2F8%2Fe%2F08e49eb1-e6ee-43ad-ad0b-43b4bfab6c0f.gif%3Fversion%3D638253674400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
6,"Evangel Christian Academy Montgomery vs Springwood Lanett",Football,"Alabama",9/4/2026,7:30 PM,"The Springwood Lanett varsity football team has a game @ Evangel Christian Academy Montgomery (Alabama).","/al/football/game/evangel-christian-academy-montgomery-vs-springwood-lanett/9-4-2026/?c=73a4635c-f556-42c2-bd1d-7b6b485c63f1","https://www.maxpreps.com/al/football/game/evangel-christian-academy-montgomery-vs-springwood-lanett/9-4-2026/?c=73a4635c-f556-42c2-bd1d-7b6b485c63f1",1697,"Lions","Wildcats","https://www.maxpreps.com/al/evangel-christian-academy-montgomery/football/","https://www.maxpreps.com/al/springwood-lanett/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F0%2F5%2Fe%2F05e58a6e-6449-4f45-9fd3-c416066184f3.gif%3Fversion%3D637423138800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fa%2F9%2F3%2Fa933ae4e-75c9-4922-b3b2-be98e12b1a56.gif%3Fversion%3D638222452800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
7,"Bessemer Academy vs Jackson Academy",Football,"Alabama",9/4/2026,7:30 PM,"The Jackson Academy varsity football team has a game @ Bessemer Academy (Alabama).","/al/football/game/bessemer-academy-vs-jackson-academy/9-4-2026/?c=e6690ead-00e7-414b-b409-31f7082eab8e","https://www.maxpreps.com/al/football/game/bessemer-academy-vs-jackson-academy/9-4-2026/?c=e6690ead-00e7-414b-b409-31f7082eab8e",d84,"Eagles","Rebels","https://www.maxpreps.com/al/bessemer-academy/football/","https://www.maxpreps.com/al/jackson-academy/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F8%2F2%2Fb%2F82b4ffb3-e0e3-4219-aef2-d6c998fc16b8.gif%3Fversion%3D638876460044254110%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F1%2Fb%2F0%2F1b0906c7-41dd-4665-b28e-2e60fe49427e.gif%3Fversion%3D639206574880420700%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
8,"Demopolis vs Jemison",Football,"Alabama",9/4/2026,7:30 PM,"The Jemison varsity football team has a game @ Demopolis (Alabama).","/al/football/game/demopolis-vs-jemison/9-4-2026/?c=408f2634-5a7a-454b-b2c0-8c48e4d13da8","https://www.maxpreps.com/al/football/game/demopolis-vs-jemison/9-4-2026/?c=408f2634-5a7a-454b-b2c0-8c48e4d13da8",804,"Tigers","Panthers","https://www.maxpreps.com/al/demopolis/football/","https://www.maxpreps.com/al/jemison/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2F4%2Fa%2F64a71063-870c-4640-99b0-e049befb8857.gif%3Fversion%3D638216564400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fa%2F1%2F6%2Fa162b556-3294-449f-9ed6-3129648ae11e.gif%3Fversion%3D638235460800000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
9,"Gadsden City vs Sparkman Harvest",Football,"Alabama",9/4/2026,7:30 PM,"The Sparkman Harvest varsity football team has a game @ Gadsden City (Alabama).","/al/football/game/gadsden-city-vs-sparkman-harvest/9-4-2026/?c=1ccb86d7-b40e-45e4-adaa-564b9ad453d6","https://www.maxpreps.com/al/football/game/gadsden-city-vs-sparkman-harvest/9-4-2026/?c=1ccb86d7-b40e-45e4-adaa-564b9ad453d6",c86,"Senators","Titans","https://www.maxpreps.com/al/gadsden-city/football/","https://www.maxpreps.com/al/sparkman-harvest/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2Fa%2Fa%2Fc%2Faace18ad-57d4-4921-8d55-93b179c246fa.gif%3Fversion%3D638249393400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F4%2Fd%2F9%2F4d96ba46-91c2-44fa-b4b8-1f5b447fa9ef.gif%3Fversion%3D638228651400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
10,"Leeds vs Sylacauga",Football,"Alabama",9/4/2026,7:30 PM,"The Sylacauga varsity football team has a game @ Leeds (Alabama).","/al/football/game/leeds-vs-sylacauga/9-4-2026/?c=17e78f5c-dd07-47af-bd23-5d818cd7873f","https://www.maxpreps.com/al/football/game/leeds-vs-sylacauga/9-4-2026/?c=17e78f5c-dd07-47af-bd23-5d818cd7873f",70a,"Greenwave","Aggies","https://www.maxpreps.com/al/leeds/football/","https://www.maxpreps.com/al/sylacauga/football/","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F6%2F1%2F1%2F6111ce28-98b0-49f7-86dd-f8e130d8224f.gif%3Fversion%3D638241479400000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg","https://hsfootball.net/proxy.php?url=https%3A%2F%2Fimage.maxpreps.io%2Fschool-mascot%2F9%2F7%2Fd%2F97dd471e-3732-4921-916c-21576e75e20b.gif%3Fversion%3D638249401200000000%26amp%3Bwidth%3D128%26amp%3Bheight%3D128%26amp%3Bauto%3Dwebp%26amp%3Bformat%3Dpjpg"
