No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short,Team1_Mascot,Team2_Mascot,Team1_URL,Team2_URL,Team1_Thumb,Team2_Thumb
1,"Thompson Alabaster vs Vestavia Hills",Football,"Alabama",9/5/2026,7:30 PM,"The Vestavia Hills varsity football team has a game @ Thompson Alabaster (Alabama).","/al/football/game/thompson-alabaster-vs-vestavia-hills/9-4-2026/?c=592c6bca-5e37-4616-9dee-75190a10da96","https://www.maxpreps.com/al/football/game/thompson-alabaster-vs-vestavia-hills/9-4-2026/?c=592c6bca-5e37-4616-9dee-75190a10da96",e43,"Rebels","Warriors","https://www.maxpreps.com/al/thompson-alabaster/football/","https://www.maxpreps.com/al/vestavia-hills/football/","https://image.maxpreps.io/school-mascot/4/9/3/493a7c03-17c9-48f1-a8bb-fbb0b9364256.gif?version=638253699600000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/f/d/8/fd85c43e-1a06-49c8-a805-b2c8fe9588ed.gif?version=638253696000000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
2,"Hewitt Trussville vs Hoover",Football,"Alabama",9/5/2026,7:30 PM,"The Hoover varsity football team has a game @ Hewitt Trussville (Alabama).","/al/football/game/hewitt-trussville-vs-hoover/9-4-2026/?c=d69aface-ab32-4f1e-95cb-fe5ab412511a","https://www.maxpreps.com/al/football/game/hewitt-trussville-vs-hoover/9-4-2026/?c=d69aface-ab32-4f1e-95cb-fe5ab412511a",af5,"Bucs","Huskies","https://www.maxpreps.com/al/hewitt-trussville/football/","https://www.maxpreps.com/al/hoover/football/","https://image.maxpreps.io/school-mascot/c/5/a/c5a22c7b-ff61-416b-be5d-f18948147988.gif?version=638234689200000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/5/4/1/541aeea2-fce9-41fb-a02b-9d8e810c24a7.gif?version=638234686200000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
3,"Gulf Shores vs Saraland",Football,"Alabama",9/5/2026,7:30 PM,"The Saraland varsity football team has a game @ Gulf Shores (Alabama).","/al/football/game/gulf-shores-vs-saraland/9-4-2026/?c=53e91f25-cd1b-43f2-b58c-b831a5eff588","https://www.maxpreps.com/al/football/game/gulf-shores-vs-saraland/9-4-2026/?c=53e91f25-cd1b-43f2-b58c-b831a5eff588",8f8,"Dolphins","Spartans","https://www.maxpreps.com/al/gulf-shores/football/","https://www.maxpreps.com/al/saraland/football/","https://image.maxpreps.io/school-mascot/a/b/7/ab7be16f-9d97-4419-abb2-cf0786f0ddf9.gif?version=638229444000000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/c/b/3/cb3e2346-78ff-4642-9bdb-ff0eb37c96d9.gif?version=638253672000000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
4,"Lakeside School Eufaula vs Miracle Academy Birmingham",Football,"Alabama",9/5/2026,7:30 PM,"The Miracle Academy Birmingham varsity football team has a game @ Lakeside School Eufaula (Alabama).","/al/football/game/lakeside-school-eufaula-vs-miracle-academy-birmingham/9-4-2026/?c=1031ae78-82cb-4c45-8621-b2f9af90d791","https://www.maxpreps.com/al/football/game/lakeside-school-eufaula-vs-miracle-academy-birmingham/9-4-2026/?c=1031ae78-82cb-4c45-8621-b2f9af90d791",1473,"Chiefs","TBD","https://www.maxpreps.com/al/lakeside-school-eufaula/football/","https://www.maxpreps.com/al/miracle-academy-birmingham/football/","https://image.maxpreps.io/school-mascot/c/e/4/ce4353ae-87e5-47a8-a044-251a94baa4ea.gif?version=636576517200000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://asset.maxpreps.io/includes/images/logos/maxpreps-logo-white-2025.png"
5,"Fyffe vs Section",Football,"Alabama",9/5/2026,7:30 PM,"The Section varsity football team has a game @ Fyffe (Alabama).","/al/football/game/fyffe-vs-section/9-4-2026/?c=fca29ca3-afd8-45c0-93eb-d6278ae97479","https://www.maxpreps.com/al/football/game/fyffe-vs-section/9-4-2026/?c=fca29ca3-afd8-45c0-93eb-d6278ae97479",648,"Red Devils","Lions","https://www.maxpreps.com/al/fyffe/football/","https://www.maxpreps.com/al/section/football/","https://image.maxpreps.io/school-mascot/0/5/a/05a61c2b-2725-4304-a2c2-7811a2a7b608.gif?version=638225187600000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/0/8/e/08e49eb1-e6ee-43ad-ad0b-43b4bfab6c0f.gif?version=638253674400000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
6,"Evangel Christian Academy Montgomery vs Springwood Lanett",Football,"Alabama",9/5/2026,7:30 PM,"The Springwood Lanett varsity football team has a game @ Evangel Christian Academy Montgomery (Alabama).","/al/football/game/evangel-christian-academy-montgomery-vs-springwood-lanett/9-4-2026/?c=73a4635c-f556-42c2-bd1d-7b6b485c63f1","https://www.maxpreps.com/al/football/game/evangel-christian-academy-montgomery-vs-springwood-lanett/9-4-2026/?c=73a4635c-f556-42c2-bd1d-7b6b485c63f1",1697,"Lions","Wildcats","https://www.maxpreps.com/al/evangel-christian-academy-montgomery/football/","https://www.maxpreps.com/al/springwood-lanett/football/","https://image.maxpreps.io/school-mascot/0/5/e/05e58a6e-6449-4f45-9fd3-c416066184f3.gif?version=637423138800000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/a/9/3/a933ae4e-75c9-4922-b3b2-be98e12b1a56.gif?version=638222452800000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
7,"Bessemer Academy vs Jackson Academy",Football,"Alabama",9/5/2026,7:30 PM,"The Jackson Academy varsity football team has a game @ Bessemer Academy (Alabama).","/al/football/game/bessemer-academy-vs-jackson-academy/9-4-2026/?c=e6690ead-00e7-414b-b409-31f7082eab8e","https://www.maxpreps.com/al/football/game/bessemer-academy-vs-jackson-academy/9-4-2026/?c=e6690ead-00e7-414b-b409-31f7082eab8e",d84,"Eagles","Rebels","https://www.maxpreps.com/al/bessemer-academy/football/","https://www.maxpreps.com/al/jackson-academy/football/","https://image.maxpreps.io/school-mascot/8/2/b/82b4ffb3-e0e3-4219-aef2-d6c998fc16b8.gif?version=638876460044254110&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/1/b/0/1b0906c7-41dd-4665-b28e-2e60fe49427e.gif?version=639206574880420700&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
8,"Gadsden City vs Sparkman Harvest",Football,"Alabama",9/5/2026,7:30 PM,"The Sparkman Harvest varsity football team has a game @ Gadsden City (Alabama).","/al/football/game/gadsden-city-vs-sparkman-harvest/9-4-2026/?c=1ccb86d7-b40e-45e4-adaa-564b9ad453d6","https://www.maxpreps.com/al/football/game/gadsden-city-vs-sparkman-harvest/9-4-2026/?c=1ccb86d7-b40e-45e4-adaa-564b9ad453d6",c86,"Senators","Titans","https://www.maxpreps.com/al/gadsden-city/football/","https://www.maxpreps.com/al/sparkman-harvest/football/","https://image.maxpreps.io/school-mascot/a/a/c/aace18ad-57d4-4921-8d55-93b179c246fa.gif?version=638249393400000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/4/d/9/4d96ba46-91c2-44fa-b4b8-1f5b447fa9ef.gif?version=638228651400000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
9,"Leeds vs Sylacauga",Football,"Alabama",9/5/2026,7:30 PM,"The Sylacauga varsity football team has a game @ Leeds (Alabama).","/al/football/game/leeds-vs-sylacauga/9-4-2026/?c=17e78f5c-dd07-47af-bd23-5d818cd7873f","https://www.maxpreps.com/al/football/game/leeds-vs-sylacauga/9-4-2026/?c=17e78f5c-dd07-47af-bd23-5d818cd7873f",70a,"Greenwave","Aggies","https://www.maxpreps.com/al/leeds/football/","https://www.maxpreps.com/al/sylacauga/football/","https://image.maxpreps.io/school-mascot/6/1/1/6111ce28-98b0-49f7-86dd-f8e130d8224f.gif?version=638241479400000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/9/7/d/97dd471e-3732-4921-916c-21576e75e20b.gif?version=638249401200000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
10,"Deshler Tuscumbia vs Lawrence County Moulton",Football,"Alabama",9/5/2026,7:30 PM,"The Lawrence County Moulton varsity football team has a game @ Deshler Tuscumbia (Alabama).","/al/football/game/deshler-tuscumbia-vs-lawrence-county-moulton/9-4-2026/?c=12d7cbb3-70c1-428f-84c5-7468516640a1","https://www.maxpreps.com/al/football/game/deshler-tuscumbia-vs-lawrence-county-moulton/9-4-2026/?c=12d7cbb3-70c1-428f-84c5-7468516640a1",117f,"Tigers","Red Devils","https://www.maxpreps.com/al/deshler-tuscumbia/football/","https://www.maxpreps.com/al/lawrence-county-moulton/football/","https://image.maxpreps.io/school-mascot/4/9/7/497d5242-1c43-48cd-befc-a73f49ce2d4a.gif?version=638216564400000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/9/f/7/9f71562e-f130-42d5-9c56-8c9a73fc403b.gif?version=638241478200000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
