No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short,Team1_Mascot,Team2_Mascot,Team1_URL,Team2_URL,Team1_Thumb,Team2_Thumb
1,"Lathrop Fairbanks vs Soldotna",Football,"Alaska",9/4/2026,7:30 PM,"The Soldotna varsity football team has a game @ Lathrop Fairbanks (Alaska).","/ak/football/game/lathrop-fairbanks-vs-soldotna/9-4-2026/?c=5522fd7d-00ae-4f37-ab33-9e50fa1fc4db","https://www.maxpreps.com/ak/football/game/lathrop-fairbanks-vs-soldotna/9-4-2026/?c=5522fd7d-00ae-4f37-ab33-9e50fa1fc4db",b7f,"Malemutes","Stars","https://www.maxpreps.com/ak/lathrop-fairbanks/football/","https://www.maxpreps.com/ak/soldotna/football/","https://image.maxpreps.io/school-mascot/e/9/5/e95903c4-ff26-4953-baee-bf5ea0775af1.gif?version=639045185957754810&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/2/1/f/21fba82f-af2a-4ad0-b884-063561c180b1.gif?version=636125706000000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
2,"Chugiak vs Palmer",Football,"Alaska",9/4/2026,7:30 PM,"The Palmer varsity football team has a game @ Chugiak (Alaska).","/ak/football/game/chugiak-vs-palmer/9-4-2026/?c=deba4cec-0dc2-4c1e-8a85-0501806e6ec8","https://www.maxpreps.com/ak/football/game/chugiak-vs-palmer/9-4-2026/?c=deba4cec-0dc2-4c1e-8a85-0501806e6ec8",6a0,"Mustangs","Moose","https://www.maxpreps.com/ak/chugiak/football/","https://www.maxpreps.com/ak/palmer/football/","https://image.maxpreps.io/school-mascot/a/c/e/acecbf28-1d7d-4f61-bfeb-f498b3297eec.gif?version=636899730000000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/f/9/9/f993762d-3428-40fb-a400-00cf10bde0ad.gif?version=635590818000000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
3,"Eagle River vs Wasilla",Football,"Alaska",9/4/2026,7:30 PM,"The Wasilla varsity football team has a game @ Eagle River (Alaska).","/ak/football/game/eagle-river-vs-wasilla/9-4-2026/?c=0ab0dd21-8dd0-42b5-aa33-c30047480bd8","https://www.maxpreps.com/ak/football/game/eagle-river-vs-wasilla/9-4-2026/?c=0ab0dd21-8dd0-42b5-aa33-c30047480bd8",883,"Wolves","Warriors","https://www.maxpreps.com/ak/eagle-river/football/","https://www.maxpreps.com/ak/wasilla/football/","https://image.maxpreps.io/school-mascot/b/7/d/b7de983b-99b0-4abb-90ed-da327d8a9596.gif?version=634024357800000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/3/8/3/383a0527-e3cd-4ba0-bf1e-60d10febb66b.gif?version=637635832800000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
4,"Kodiak vs Valdez",Football,"Alaska",9/4/2026,7:30 PM,"The Valdez varsity football team has a game @ Kodiak (Alaska).","/ak/football/game/kodiak-vs-valdez/9-4-2026/?c=193a2ba4-70a3-48ed-8f42-2e20af72b9cb","https://www.maxpreps.com/ak/football/game/kodiak-vs-valdez/9-4-2026/?c=193a2ba4-70a3-48ed-8f42-2e20af72b9cb",63c,"Buccaneers","Bears","https://www.maxpreps.com/ak/kodiak/football/","https://www.maxpreps.com/ak/valdez/football/","https://image.maxpreps.io/school-mascot/1/4/0/140ccad7-813c-45a2-83c7-dcd227af526a.gif?version=637635831000000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/5/3/0/530ceec8-8ddd-4c40-a20b-45c8af05244a.gif?version=635796364800000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
5,"Homer vs Houston Big Lake",Football,"Alaska",9/4/2026,7:30 PM,"The Houston Big Lake varsity football team has a game @ Homer (Alaska).","/ak/football/game/homer-vs-houston-big-lake/9-4-2026/?c=e15271f9-f438-45de-a377-c571eeb0f4f7","https://www.maxpreps.com/ak/football/game/homer-vs-houston-big-lake/9-4-2026/?c=e15271f9-f438-45de-a377-c571eeb0f4f7",997,"Mariners","Hawks","https://www.maxpreps.com/ak/homer/football/","https://www.maxpreps.com/ak/houston-big-lake/football/","https://image.maxpreps.io/school-mascot/f/6/e/f6e9b228-1395-4a59-ad66-d2e3c5f6f548.gif?version=636517960800000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/2/0/a/20af4b6d-9bff-488c-b00e-3b7f8f7db9cd.gif?version=637635828600000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
6,"North Pole vs West Valley Fairbanks",Football,"Alaska",9/4/2026,7:30 PM,"The West Valley Fairbanks varsity football team has a game @ North Pole (Alaska).","/ak/football/game/north-pole-vs-west-valley-fairbanks/9-4-2026/?c=88ad4e1c-9c76-43aa-8a8b-b9f80b6c0c82","https://www.maxpreps.com/ak/football/game/north-pole-vs-west-valley-fairbanks/9-4-2026/?c=88ad4e1c-9c76-43aa-8a8b-b9f80b6c0c82",da6,"Wolf Pack","Patriots","https://www.maxpreps.com/ak/north-pole/football/","https://www.maxpreps.com/ak/west-valley-fairbanks/football/","https://image.maxpreps.io/school-mascot/e/4/a/e4aa1f38-448e-4db3-959d-6f0c2d121143.gif?version=636995527200000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/2/6/8/268dc1f2-f03d-401c-bfec-67cfc4f56035.gif?version=635965866600000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
7,"Barrow Utqiagvik vs Redington Wasilla",Football,"Alaska",9/4/2026,7:30 PM,"The Redington Wasilla varsity football team has a game @ Barrow Utqiagvik (Alaska).","/ak/football/game/barrow-utqiagvik-vs-redington-wasilla/9-4-2026/?c=5b8626b1-10a4-4ea1-a354-28644b6ed323","https://www.maxpreps.com/ak/football/game/barrow-utqiagvik-vs-redington-wasilla/9-4-2026/?c=5b8626b1-10a4-4ea1-a354-28644b6ed323",eb6,"Whalers","Huskies","https://www.maxpreps.com/ak/barrow-utqiagvik/football/","https://www.maxpreps.com/ak/redington-wasilla/football/","https://image.maxpreps.io/school-mascot/9/a/4/9a40d706-0eb3-4156-a8e5-bde660f367fe.gif?version=633963314400000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/0/0/9/009b34b2-6bf1-433e-aad4-556936228b9f.gif?version=636413442000000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
8,"Bartlett Anchorage vs Dimond Anchorage",Football,"Alaska",9/4/2026,7:30 PM,"The Dimond Anchorage varsity football team has a game @ Bartlett Anchorage (Alaska).","/ak/football/game/bartlett-anchorage-vs-dimond-anchorage/9-4-2026/?c=fb15467d-37b2-4438-9de9-675a231c0d89","https://www.maxpreps.com/ak/football/game/bartlett-anchorage-vs-dimond-anchorage/9-4-2026/?c=fb15467d-37b2-4438-9de9-675a231c0d89",eca,"Golden Bears","Lynx","https://www.maxpreps.com/ak/bartlett-anchorage/football/","https://www.maxpreps.com/ak/dimond-anchorage/football/","https://image.maxpreps.io/school-mascot/e/4/2/e42cadbd-766e-4323-ab91-b318987182fd.gif?version=638687326707791700&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/8/8/8/8889ee2e-e023-4108-99c4-71b548bc4b58.gif?version=634513536600000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
9,"Spanish River Boca Raton vs West Boca Raton",Football,"Alaska",9/4/2026,7:30 PM,"The West Boca Raton varsity football team has a game @ Spanish River Boca Raton (Alaska).","/fl/football/game/spanish-river-boca-raton-vs-west-boca-raton/9-4-2026/?c=2df94f0f-5814-4cd6-830e-fadc7220adf3","https://www.maxpreps.com/fl/football/game/spanish-river-boca-raton-vs-west-boca-raton/9-4-2026/?c=2df94f0f-5814-4cd6-830e-fadc7220adf3",1077,"Bulls","Sharks","https://www.maxpreps.com/ak/spanish-river-boca-raton/football/","https://www.maxpreps.com/ak/west-boca-raton/football/","https://image.maxpreps.io/school-mascot/e/7/9/e7903dfb-37a9-4b3b-af93-19f0569f5114.gif?version=638296082400000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/5/1/b/51b8b1b1-8c45-4dd4-b155-be622046a45b.gif?version=638201005800000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
10,"Columbus Miami vs St Thomas Aquinas Fort Lauderdale",Football,"Alaska",9/4/2026,7:30 PM,"The St Thomas Aquinas Fort Lauderdale varsity football team has a game @ Columbus Miami (Alaska).","/fl/football/game/columbus-miami-vs-st-thomas-aquinas-fort-lauderdale/9-4-2026/?c=4c5013d0-411d-428c-aecc-b0ec69545c96","https://www.maxpreps.com/fl/football/game/columbus-miami-vs-st-thomas-aquinas-fort-lauderdale/9-4-2026/?c=4c5013d0-411d-428c-aecc-b0ec69545c96",13ce,"Explorers","Raiders","https://www.maxpreps.com/ak/columbus-miami/football/","https://www.maxpreps.com/ak/st-thomas-aquinas-fort-lauderdale/football/","https://image.maxpreps.io/school-mascot/5/c/e/5ce85d4b-4ce3-48ca-8b24-2a304bba4853.gif?version=637698085200000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/b/d/1/bd12f619-3d60-413e-a9ef-5742cd4a21bb.gif?version=637743744600000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
