No,MatchName,Sport,Region,Date,Time,Game_Info,Relative_Path,Full_URL,Slug_Short,Team1_Mascot,Team2_Mascot,Team1_URL,Team2_URL,Team1_Thumb,Team2_Thumb
1,"Hewitt Trussville Al vs Independence Thompsons Station Tn",Girls Volleyball,"Alabama",9/11/2026,7:30 PM,"The Independence Thompsons Station Tn varsity volleyball team has a game @ Hewitt Trussville Al (Alabama).","/inter-state/volleyball/match/hewitt-trussville-al-vs-independence-thompsons-station-tn/9-11-2026/?c=e40b0c91-65be-4e67-b5d4-3aeb3fa9b43a","https://www.maxpreps.com/inter-state/volleyball/match/hewitt-trussville-al-vs-independence-thompsons-station-tn/9-11-2026/?c=e40b0c91-65be-4e67-b5d4-3aeb3fa9b43a",1694,"Huskies","Eagles","https://www.maxpreps.com/al/hewitt-trussville-al/girls-volleyball/","https://www.maxpreps.com/al/independence-thompsons-station-tn/girls-volleyball/","https://image.maxpreps.io/school-mascot/5/4/1/541aeea2-fce9-41fb-a02b-9d8e810c24a7.gif?version=638234686200000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/b/9/c/b9c8d38b-2d96-4128-838e-f7eb9e665ae5.gif?version=634867744800000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
2,"Hewitt Trussville Al vs Nation Ford Fort Mill Sc",Girls Volleyball,"Alabama",9/11/2026,7:30 PM,"The Nation Ford Fort Mill Sc varsity volleyball team has a game @ Hewitt Trussville Al (Alabama).","/inter-state/volleyball/match/hewitt-trussville-al-vs-nation-ford-fort-mill-sc/9-11-2026/?c=e72d41ac-6181-42ad-be13-7b62072174d1","https://www.maxpreps.com/inter-state/volleyball/match/hewitt-trussville-al-vs-nation-ford-fort-mill-sc/9-11-2026/?c=e72d41ac-6181-42ad-be13-7b62072174d1",1283,"Huskies","Falcons","https://www.maxpreps.com/al/hewitt-trussville-al/girls-volleyball/","https://www.maxpreps.com/al/nation-ford-fort-mill-sc/girls-volleyball/","https://image.maxpreps.io/school-mascot/5/4/1/541aeea2-fce9-41fb-a02b-9d8e810c24a7.gif?version=638234686200000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/7/d/b/7db3ce84-0175-403c-8ce0-6a3c9a0c4cd7.gif?version=639178009355488940&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
3,"Grimsley Greensboro Nc vs Hewitt Trussville Al",Girls Volleyball,"Alabama",9/11/2026,7:30 PM,"The Hewitt Trussville Al varsity volleyball team has a game @ Grimsley Greensboro Nc (Alabama).","/inter-state/volleyball/match/grimsley-greensboro-nc-vs-hewitt-trussville-al/9-11-2026/?c=98f7b65d-589e-4047-98e6-ddf83c9fd7dc","https://www.maxpreps.com/inter-state/volleyball/match/grimsley-greensboro-nc-vs-hewitt-trussville-al/9-11-2026/?c=98f7b65d-589e-4047-98e6-ddf83c9fd7dc",1229,"Huskies","Whirlies","https://www.maxpreps.com/al/grimsley-greensboro-nc/girls-volleyball/","https://www.maxpreps.com/al/hewitt-trussville-al/girls-volleyball/","https://image.maxpreps.io/school-mascot/5/4/1/541aeea2-fce9-41fb-a02b-9d8e810c24a7.gif?version=638234686200000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/8/6/c/86cd69cb-275e-450e-82b6-e3c0a3746382.gif?version=638634168966716820&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
4,"Guardian Christian Athletics Andalusia vs Tuscaloosa Home Educators Northport",Girls Volleyball,"Alabama",9/11/2026,7:30 PM,"The Tuscaloosa Home Educators Northport varsity volleyball team has a game @ Guardian Christian Athletics Andalusia (Alabama).","/al/volleyball/match/guardian-christian-athletics-andalusia-vs-tuscaloosa-home-educators-northport/9-11-2026/?c=669b251d-c91d-4b17-9be8-3b791ecfcdbe","https://www.maxpreps.com/al/volleyball/match/guardian-christian-athletics-andalusia-vs-tuscaloosa-home-educators-northport/9-11-2026/?c=669b251d-c91d-4b17-9be8-3b791ecfcdbe",1e75,"Warriors","Angels","https://www.maxpreps.com/al/guardian-christian-athletics-andalusia/girls-volleyball/","https://www.maxpreps.com/al/tuscaloosa-home-educators-northport/girls-volleyball/","https://image.maxpreps.io/school-mascot/f/5/b/f5b3f16f-38b1-4e93-aa99-8811510ebd8a.gif?version=637342123200000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/8/4/d/84d78403-ca86-41f3-b934-0f78a9baeb83.gif?version=638911782010660580&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
5,"Faith Academy Mobile vs Kate Duncan Smith Dar Grant",Girls Volleyball,"Alabama",9/11/2026,7:30 PM,"The Kate Duncan Smith Dar Grant varsity volleyball team has a game @ Faith Academy Mobile (Alabama).","/al/volleyball/match/faith-academy-mobile-vs-kate-duncan-smith-dar-grant/9-11-2026/?c=05a487a4-c7f2-4ed2-acbe-3c805cc42683","https://www.maxpreps.com/al/volleyball/match/faith-academy-mobile-vs-kate-duncan-smith-dar-grant/9-11-2026/?c=05a487a4-c7f2-4ed2-acbe-3c805cc42683",133f,"Rams","Patriots","https://www.maxpreps.com/al/faith-academy-mobile/girls-volleyball/","https://www.maxpreps.com/al/kate-duncan-smith-dar-grant/girls-volleyball/","https://image.maxpreps.io/school-mascot/c/9/9/c99db4a0-cfb2-4f75-be08-1f56109be602.gif?version=638225158200000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/e/d/e/ede980c8-ef69-4aad-8616-7aefcb0b6a3f.gif?version=638235461400000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
6,"Erwin Asheville Nc vs Sumiton Christian Al",Girls Volleyball,"Alabama",9/11/2026,7:30 PM,"The Sumiton Christian Al varsity volleyball team has a game @ Erwin Asheville Nc (Alabama).","/inter-state/volleyball/match/erwin-asheville-nc-vs-sumiton-christian-al/9-11-2026/?c=77c33849-d390-4d4c-b185-005c92321d53","https://www.maxpreps.com/inter-state/volleyball/match/erwin-asheville-nc-vs-sumiton-christian-al/9-11-2026/?c=77c33849-d390-4d4c-b185-005c92321d53",104b,"Eagles","Warriors","https://www.maxpreps.com/al/erwin-asheville-nc/girls-volleyball/","https://www.maxpreps.com/al/sumiton-christian-al/girls-volleyball/","https://image.maxpreps.io/school-mascot/e/0/b/e0b3eda5-2ae0-465b-b4ee-63607384b71d.gif?version=638249400000000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/2/2/b/22bbd615-0d5d-4d75-848b-b2d73321030c.gif?version=639086145944085190&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
7,"Helena vs St Pauls Episcopal Mobile",Girls Volleyball,"Alabama",9/11/2026,7:30 PM,"The St Pauls Episcopal Mobile varsity volleyball team has a game @ Helena (Alabama).","/al/volleyball/match/helena-vs-st-pauls-episcopal-mobile/9-11-2026/?c=7e368591-8259-4316-a5e7-391fa0ff4783","https://www.maxpreps.com/al/volleyball/match/helena-vs-st-pauls-episcopal-mobile/9-11-2026/?c=7e368591-8259-4316-a5e7-391fa0ff4783",d7b,"Saints","Huskies","https://www.maxpreps.com/al/helena/girls-volleyball/","https://www.maxpreps.com/al/st-pauls-episcopal-mobile/girls-volleyball/","https://image.maxpreps.io/school-mascot/d/8/4/d84c646a-9fbf-4347-88b6-cf834de4c9ca.gif?version=638249398200000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/d/7/5/d7509e5a-609e-4a7f-a990-e77a31d086ab.gif?version=638234685600000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
8,"Carbon Hill vs Kate Duncan Smith Dar Grant",Girls Volleyball,"Alabama",9/11/2026,7:30 PM,"The Kate Duncan Smith Dar Grant varsity volleyball team has a game @ Carbon Hill (Alabama).","/al/volleyball/match/carbon-hill-vs-kate-duncan-smith-dar-grant/9-11-2026/?c=8886228c-3c59-43b7-aa8d-b76c4ec4dea7","https://www.maxpreps.com/al/volleyball/match/carbon-hill-vs-kate-duncan-smith-dar-grant/9-11-2026/?c=8886228c-3c59-43b7-aa8d-b76c4ec4dea7",fd8,"Bulldogs","Patriots","https://www.maxpreps.com/al/carbon-hill/girls-volleyball/","https://www.maxpreps.com/al/kate-duncan-smith-dar-grant/girls-volleyball/","https://image.maxpreps.io/school-mascot/9/4/9/9499f96c-ce17-4e48-b557-0ceef88d8ef8.gif?version=638215521600000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/e/d/e/ede980c8-ef69-4aad-8616-7aefcb0b6a3f.gif?version=638235461400000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
9,"Bob Jones Madison Al vs South Greene Greeneville Tn",Girls Volleyball,"Alabama",9/11/2026,7:30 PM,"The South Greene Greeneville Tn varsity volleyball team has a game @ Bob Jones Madison Al (Alabama).","/inter-state/volleyball/match/bob-jones-madison-al-vs-south-greene-greeneville-tn/9-11-2026/?c=574fe61f-a49c-4f3e-9094-d5970308ff5f","https://www.maxpreps.com/inter-state/volleyball/match/bob-jones-madison-al-vs-south-greene-greeneville-tn/9-11-2026/?c=574fe61f-a49c-4f3e-9094-d5970308ff5f",1378,"Rebels","Patriots","https://www.maxpreps.com/al/bob-jones-madison-al/girls-volleyball/","https://www.maxpreps.com/al/south-greene-greeneville-tn/girls-volleyball/","https://image.maxpreps.io/school-mascot/1/9/3/193da3e8-4a11-4752-86ac-bd691a025bfb.gif?version=635589278400000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/1/e/4/1e415348-0b4c-4a8b-90ad-0889e666102e.gif?version=638213110200000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
10,"Carbon Hill vs Faith Academy Mobile",Girls Volleyball,"Alabama",9/11/2026,7:30 PM,"The Faith Academy Mobile varsity volleyball team has a game @ Carbon Hill (Alabama).","/al/volleyball/match/carbon-hill-vs-faith-academy-mobile/9-11-2026/?c=a64e6501-a600-4990-862e-d44676342777","https://www.maxpreps.com/al/volleyball/match/carbon-hill-vs-faith-academy-mobile/9-11-2026/?c=a64e6501-a600-4990-862e-d44676342777",d40,"Bulldogs","Rams","https://www.maxpreps.com/al/carbon-hill/girls-volleyball/","https://www.maxpreps.com/al/faith-academy-mobile/girls-volleyball/","https://image.maxpreps.io/school-mascot/9/4/9/9499f96c-ce17-4e48-b557-0ceef88d8ef8.gif?version=638215521600000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg","https://image.maxpreps.io/school-mascot/c/9/9/c99db4a0-cfb2-4f75-be08-1f56109be602.gif?version=638225158200000000&amp;width=128&amp;height=128&amp;auto=webp&amp;format=pjpg"
