Waktu (WIB),Pertandingan,Kompetisi,Kategori,Tanggal,Link Pertandingan,Short Slug,Slug Match
"20:00","Genoa vs Frosinone &nbsp;","Football. Italy. Serie A","Football","12.09.2026","https://livetv.sx/it/eventinfo/399510906_genoa_frosinone/","s7lrd4","/genoa-vs-frosinone-nbsp"
"20:00","Zbrojovka Brno vs Artis Brno &nbsp;","Football. Czech Republic. First League","Football","12.09.2026","https://livetv.sx/en/eventinfo/399512946_zbrojovka_brno_artis_brno/","4ghfq7","/zbrojovka-brno-vs-artis-brno-nbsp"
"20:00","Slovan Liberec vs Mlada vs Boleslav &nbsp;","Football. Czech Republic. First League","Football","12.09.2026","https://livetv.sx/en/eventinfo/399512947_slovan_liberec_mlada_boleslav/","5a9noa","/slovan-liberec-vs-mlada-vs-boleslav-nbsp"
"20:00","Zbrojovka Brno vs Karvina &nbsp;","Football. Czech Republic. First League","Football","12.09.2026","https://livetv.sx/en/eventinfo/399512948_zbrojovka_brno_karvina/","742umc","/zbrojovka-brno-vs-karvina-nbsp"
"20:00","Bohemians vs Slovacko &nbsp;","Football. Czech Republic. First League","Football","12.09.2026","https://livetv.sx/en/eventinfo/399512949_bohemians_slovacko/","8yv2ke","/bohemians-vs-slovacko-nbsp"
"20:00","Suedtirol vs Modena &nbsp;","Football. Italy. Serie B","Football","12.09.2026","https://livetv.sx/it/eventinfo/399510885_suedtirol_modena/","xnw9it","/suedtirol-vs-modena-nbsp"
"20:00","Padova vs Ascoli &nbsp;","Football. Italy. Serie B","Football","12.09.2026","https://livetv.sx/it/eventinfo/399510886_padova_ascoli/","zhohgv","/padova-vs-ascoli-nbsp"
"20:00","Vicenza Virtus vs Juve Stabia &nbsp;","Football. Italy. Serie B","Football","12.09.2026","https://livetv.sx/it/eventinfo/399510887_vicenza_virtus_juve_stabia/","0bhoex","/vicenza-virtus-vs-juve-stabia-nbsp"
"20:00","Polokwane City vs Kaizer Chiefs &nbsp;","Football. South Africa. PSL","Football","12.09.2026","https://livetv.sx/en/eventinfo/399513142_polokwane_city_kaizer_chiefs/","xaek7m","/polokwane-city-vs-kaizer-chiefs-nbsp"
"20:00","AmaZulu vs Marumo Gallants &nbsp;","Football. South Africa. PSL","Football","12.09.2026","https://livetv.sx/en/eventinfo/399513143_amazulu_marumo_gallants/","y46s5o","/amazulu-vs-marumo-gallants-nbsp"
"20:00","AIK vs Vasteras &nbsp;","Football. Sweden. Allsvenskan","Football","12.09.2026","https://livetv.sx/en/eventinfo/399513026_aik_vasteras/","bb4mfa","/aik-vs-vasteras-nbsp"
"20:00","Arsenal Dzerzhinsk vs Baranavichy &nbsp;","Football. Belarus. Vysheyshaya Liga","Football","12.09.2026","https://livetv.sx/en/eventinfo/399510225_arsenal_dzerzhinsk_baranavichy/","mxucz1","/arsenal-dzerzhinsk-vs-baranavichy-nbsp"
"20:00","Felgueiras vs Penafiel &nbsp;","Football. Portugal. Segunda Liga","Football","12.09.2026","https://livetv.sx/pt/eventinfo/399621781_felgueiras_penafiel/","fovnru","/felgueiras-vs-penafiel-nbsp"
"20:00","Esbjerg vs HB Koege &nbsp;","Football. Denmark. 1 Division","Football","12.09.2026","https://livetv.sx/en/eventinfo/399510616_esbjerg_hb_koege/","7swfys","/esbjerg-vs-hb-koege-nbsp"
"20:00","Poland vs Israel &nbsp;","Volleyball. European Championship","Football","12.09.2026","https://livetv.sx/en/eventinfo/399512876_poland_israel/","bxsdhs","/poland-vs-israel-nbsp"
"20:00","Elimai vs Zhetysu &nbsp;","Football. Kazakhstan. Premier League","Football","12.09.2026","https://livetv.sx/en/eventinfo/399510983_elimai_zhetysu/","ukuc80","/elimai-vs-zhetysu-nbsp"
"20:00","Belgian International &nbsp;","Badminton. International Challenge","Football","12.09.2026","https://livetv.sx/en/eventinfo/422179142_belgian_international/","m3749z","/belgian-international-nbsp"
"20:00","Lokomotiv vs 1945 Academy vs Reshetilovka 3 &nbsp;","Volleyball. Ukraine. Cup","Football","12.09.2026","https://livetv.sx/en/eventinfo/419411649_lokomotiv_1945_academy_reshetilovka_3/","61cbde","/lokomotiv-vs-1945-academy-vs-reshetilovka-3-nbsp"
"20:00","Slonim vs Molodechno &nbsp;","Football. Belarus. First League","Football","12.09.2026","https://livetv.sx/en/eventinfo/422521705_slonim_molodechno/","tt0o7y","/slonim-vs-molodechno-nbsp"
"20:00","Tour of Switzerland &nbsp;","Basketball. 3x3","Football","12.09.2026","https://livetv.sx/en/eventinfo/422514027_tour_of_switzerland/","opxpw4","/tour-of-switzerland-nbsp"
"20:00","Malmoe (W) vs Eskilstuna Utd (W) &nbsp;","Football. Sweden. Women. Damallsvenskan","Football","12.09.2026","https://livetv.sx/en/eventinfo/423121833__malmoe_w__eskilstuna_utd_w/","8l84tl","/malmoe-w-vs-eskilstuna-utd-w-nbsp"
"20:00","Rosengard (W) vs Uppsala (W) &nbsp;","Football. Sweden. Women. Damallsvenskan","Football","12.09.2026","https://livetv.sx/en/eventinfo/423121834__rosengard_w__uppsala_w/","9f0brn","/rosengard-w-vs-uppsala-w-nbsp"
"20:00","Italy U20 (W) vs Japan U20 (W) &nbsp;","Football. Women. World Cup U-20","Football","12.09.2026","https://livetv.sx/en/eventinfo/409894241_italy_u20_w_japan_u20_w/","zzhy8w","/italy-u20-w-vs-japan-u20-w-nbsp"
"20:00","New Zealand U20 (W) vs USA U20 (W) &nbsp;","Football. Women. World Cup U-20","Football","12.09.2026","https://livetv.sx/en/eventinfo/409894242_new_zealand_u20_w_usa_u20_w/","0t966z","/new-zealand-u20-w-vs-usa-u20-w-nbsp"
"20:00","Goztepe vs Kipas Istiklal &nbsp;","Basketball. Turkey. TBL","Football","12.09.2026","https://livetv.sx/tr/eventinfo/422521308_goztepe_kipas_istiklal/","zy6bju","/goztepe-vs-kipas-istiklal-nbsp"
"20:00","iLab vs Final Spor &nbsp;","Basketball. Turkey. TBL","Football","12.09.2026","https://livetv.sx/tr/eventinfo/422521309_ilab_final_spor/","0szihw","/ilab-vs-final-spor-nbsp"
"20:00","Kecioren Baglum vs Gaziantep BB &nbsp;","Basketball. Turkey. TBL","Football","12.09.2026","https://livetv.sx/tr/eventinfo/422521310_kecioren_baglum_gaziantep_bb/","2mrqfy","/kecioren-baglum-vs-gaziantep-bb-nbsp"
"20:00","Astana vs Kaspiy &nbsp;","Futsal. Kazakhstan. Championship","Football","12.09.2026","https://livetv.sx/en/eventinfo/414597018_astana_kaspiy/","8luxxb","/astana-vs-kaspiy-nbsp"
"20:00","Atyrau vs Tulpar &nbsp;","Futsal. Kazakhstan. Championship","Football","12.09.2026","https://livetv.sx/en/eventinfo/414597019_atyrau_tulpar/","afn5vd","/atyrau-vs-tulpar-nbsp"
"20:00","Ayat vs Bayterek &nbsp;","Futsal. Kazakhstan. Championship","Football","12.09.2026","https://livetv.sx/en/eventinfo/414597020_ayat_bayterek/","b9gdtg","/ayat-vs-bayterek-nbsp"
"20:00","Kairat vs Elorda &nbsp;","Futsal. Kazakhstan. Championship","Football","12.09.2026","https://livetv.sx/en/eventinfo/414597021_kairat_elorda/","c38lri","/kairat-vs-elorda-nbsp"
"20:00","Aktobe vs Shymkent &nbsp;","Futsal. Kazakhstan. Championship","Football","12.09.2026","https://livetv.sx/en/eventinfo/414597022_aktobe_shymkent/","ex1spk","/aktobe-vs-shymkent-nbsp"
"20:00","Semey vs Oqschetpes &nbsp;","Futsal. Kazakhstan. Championship","Football","12.09.2026","https://livetv.sx/en/eventinfo/414597023_semey_oqschetpes/","fru0nn","/semey-vs-oqschetpes-nbsp"
"20:00","Lekrings vs Ulbroka &nbsp;","Floorball. Latvia. Elite League","Football","12.09.2026","https://livetv.sx/en/eventinfo/418067004_lekrings_ulbroka/","gb977s","/lekrings-vs-ulbroka-nbsp"
"20:00","Vado vs Campobasso &nbsp;","Football. Italy. Serie C. Group B","Football","12.09.2026","https://livetv.sx/it/eventinfo/399510942_vado_campobasso/","7a8ige","/vado-vs-campobasso-nbsp"
"20:00","Atalanta U vs 23 vs Pescara &nbsp;","Football. Italy. Serie C. Group B","Football","12.09.2026","https://livetv.sx/it/eventinfo/399510943__atalanta_u_23_pescara/","941qeh","/atalanta-u-vs-23-vs-pescara-nbsp"
